date,day,meal,menu,expected_students,holiday,special_event,semester_status,previous_demand,actual_demand
2024-01-01,Monday,Breakfast,Idli,586,0,0,Regular,318,395
2024-01-02,Tuesday,Dinner,Dosa,559,0,1,Regular,395,453
2024-01-03,Wednesday,Lunch,Variety Rice,416,0,1,Regular,453,383
2024-01-04,Thursday,Dinner,Variety Rice,561,0,0,Regular,383,413
2024-01-05,Friday,Dinner,Idli,590,0,1,Regular,413,505
2024-01-06,Saturday,Lunch,Biryani,259,0,0,Regular,505,259
2024-01-07,Sunday,Dinner,Parotta,64,1,0,Regular,259,0
2024-01-08,Monday,Breakfast,Poori,439,0,0,Regular,0,295
2024-01-09,Tuesday,Dinner,Idli,383,1,0,Regular,295,283
2024-01-10,Wednesday,Dinner,Idli,530,0,0,Regular,283,337
2024-01-11,Thursday,Dinner,Idli,475,0,0,Regular,337,302
2024-01-12,Friday,Dinner,Dosa,554,0,0,Regular,302,407
2024-01-13,Saturday,Breakfast,Poori,295,0,0,Regular,407,179
2024-01-14,Sunday,Breakfast,Dosa,72,1,0,Regular,179,0
2024-01-15,Monday,Lunch,Chapati,433,0,0,Regular,0,350
2024-01-16,Tuesday,Lunch,Chapati,592,0,0,Regular,350,437
2024-01-17,Wednesday,Lunch,South Indian Meals,445,0,0,Regular,437,378
2024-01-18,Thursday,Dinner,Variety Rice,575,0,0,Regular,378,430
2024-01-19,Friday,Lunch,Chapati,541,0,0,Regular,430,484
2024-01-20,Saturday,Dinner,Parotta,385,0,1,Regular,484,275
2024-01-21,Sunday,Breakfast,Poori,52,1,0,Regular,275,0
2024-01-22,Monday,Breakfast,Upma,442,0,1,Regular,0,258
2024-01-23,Tuesday,Dinner,Parotta,437,0,0,Regular,258,310
2024-01-24,Wednesday,Lunch,Variety Rice,505,0,0,Regular,310,424
2024-01-25,Thursday,Breakfast,Pongal,550,0,0,Regular,424,338
2024-01-26,Friday,Lunch,Special Meals,440,0,0,Regular,338,410
2024-01-27,Saturday,Breakfast,Upma,382,0,0,Regular,410,213
2024-01-28,Sunday,Lunch,Biryani,61,1,0,Regular,213,40
2024-01-29,Monday,Breakfast,Idli,462,0,0,Regular,40,285
2024-01-30,Tuesday,Lunch,South Indian Meals,499,0,0,Regular,285,422
2024-01-31,Wednesday,Lunch,Biryani,494,0,0,Regular,422,485
2024-02-01,Thursday,Dinner,Idli,430,0,1,Regular,485,367
2024-02-02,Friday,Dinner,Parotta,427,0,0,Regular,367,385
2024-02-03,Saturday,Dinner,Dosa,279,0,0,Regular,385,182
2024-02-04,Sunday,Dinner,Variety Rice,112,1,0,Regular,182,0
2024-02-05,Monday,Dinner,Chapati,487,0,0,Regular,0,296
2024-02-06,Tuesday,Lunch,South Indian Meals,461,0,0,Regular,296,416
